"PID","Attention_Check","Score","Item","Trait","Order"
10,"8",6,"the autonomous killer drone","reliable","1"
10,"8",5,"the autonomous killer drone","good-intentions","13"
11,"8",7,"the AI photo editing tool","trust","6"
11,"8",6,"the AI photo editing tool","reliable","16"
11,"8",1,"the AI photo editing tool","good-intentions","8"
11,"8",7,"the autonomous killer drone","trust","1"
11,"8",7,"the autonomous killer drone","reliable","4"
11,"8",1,"the autonomous killer drone","good-intentions","5"
11,"8",7,"the predictive policing algorithm","trust","7"
11,"8",6,"the predictive policing algorithm","reliable","13"
11,"8",1,"the predictive policing algorithm","good-intentions","14"
11,"8",7,"Microsoft Copilot","trust","11"
11,"8",7,"Microsoft Copilot","reliable","18"
11,"8",4,"Microsoft Copilot","good-intentions","3"
11,"8",7,"DALL-E","trust","2"
11,"8",6,"DALL-E","reliable","12"
11,"8",1,"DALL-E","good-intentions","15"
11,"8",7,"Apple’s Siri","trust","17"
11,"8",7,"Apple’s Siri","reliable","9"
11,"8",5,"Apple’s Siri","good-intentions","10"
12,"8",7,"the predictive policing algorithm","trust","15"
12,"8",7,"the predictive policing algorithm","reliable","6"
12,"8",6,"the predictive policing algorithm","good-intentions","5"
12,"8",6,"the robot vacuum","trust","11"
12,"8",7,"the robot vacuum","reliable","13"
12,"8",2,"the robot vacuum","good-intentions","17"
12,"8",6,"the AI photo editing tool","trust","10"
12,"8",7,"the AI photo editing tool","reliable","14"
12,"8",2,"the AI photo editing tool","good-intentions","18"
12,"8",7,"the self-driving car","trust","3"
12,"8",7,"the self-driving car","reliable","1"
12,"8",2,"the self-driving car","good-intentions","9"
12,"8",7,"Apple’s Siri","trust","12"
12,"8",7,"Apple’s Siri","reliable","8"
12,"8",7,"Apple’s Siri","good-intentions","2"
12,"8",7,"Amazon Alexa","trust","16"
12,"8",7,"Amazon Alexa","reliable","4"
12,"8",3,"Amazon Alexa","good-intentions","7"
13,"8",7,"Microsoft Copilot","trust","3"
13,"8",7,"Microsoft Copilot","reliable","11"
13,"8",7,"Microsoft Copilot","good-intentions","6"
13,"8",7,"the AI therapist","trust","2"
13,"8",7,"the AI therapist","reliable","14"
13,"8",7,"the AI therapist","good-intentions","10"
13,"8",7,"the smart watch","trust","8"
13,"8",7,"the smart watch","reliable","13"
13,"8",4,"the smart watch","good-intentions","16"
13,"8",7,"Apple’s Siri","trust","1"
13,"8",7,"Apple’s Siri","reliable","9"
13,"8",4,"Apple’s Siri","good-intentions","17"
13,"8",7,"Amazon Alexa","trust","12"
13,"8",7,"Amazon Alexa","reliable","7"
13,"8",7,"Amazon Alexa","good-intentions","5"
13,"8",7,"the Instagram filter","trust","15"
13,"8",7,"the Instagram filter","reliable","4"
13,"8",4,"the Instagram filter","good-intentions","18"
14,"8",7,"Microsoft Copilot","trust","4"
14,"8",7,"Microsoft Copilot","reliable","13"
14,"8",7,"Microsoft Copilot","good-intentions","15"
14,"8",7,"the autonomous killer drone","trust","6"
14,"8",7,"the autonomous killer drone","reliable","8"
14,"8",6,"the autonomous killer drone","good-intentions","12"
14,"8",7,"the factory robot","trust","5"
14,"8",7,"the factory robot","reliable","14"
14,"8",1,"the factory robot","good-intentions","7"
14,"8",7,"the AI photo editing tool","trust","9"
14,"8",7,"the AI photo editing tool","reliable","17"
14,"8",3,"the AI photo editing tool","good-intentions","16"
14,"8",7,"the spam filter","trust","3"
14,"8",7,"the spam filter","reliable","11"
14,"8",3,"the spam filter","good-intentions","18"
14,"8",2,"the smart watch","trust","10"
14,"8",7,"the smart watch","reliable","2"
14,"8",2,"the smart watch","good-intentions","1"
15,"8",5,"the robot vacuum","trust","8"
15,"8",6,"the robot vacuum","reliable","15"
15,"8",1,"the robot vacuum","good-intentions","5"
15,"8",5,"the smart watch","trust","11"
15,"8",7,"the smart watch","reliable","12"
15,"8",1,"the smart watch","good-intentions","1"
15,"8",3,"DALL-E","trust","4"
15,"8",6,"DALL-E","reliable","14"
15,"8",2,"DALL-E","good-intentions","17"
15,"8",7,"the predictive sentencing algorithm","trust","18"
15,"8",7,"the predictive sentencing algorithm","reliable","16"
15,"8",3,"the predictive sentencing algorithm","good-intentions","7"
15,"8",6,"the spam filter","trust","9"
15,"8",7,"the spam filter","reliable","10"
15,"8",1,"the spam filter","good-intentions","3"
15,"8",6,"Amazon Alexa","trust","2"
15,"8",7,"Amazon Alexa","reliable","6"
15,"8",2,"Amazon Alexa","good-intentions","13"
16,"8",7,"the Instagram filter","trust","18"
16,"8",7,"the Instagram filter","reliable","8"
16,"8",1,"the Instagram filter","good-intentions","7"
16,"8",7,"Amazon Alexa","trust","4"
16,"8",7,"Amazon Alexa","reliable","5"
16,"8",1,"Amazon Alexa","good-intentions","14"
16,"8",7,"the self-driving car","trust","11"
16,"8",7,"the self-driving car","reliable","3"
16,"8",1,"the self-driving car","good-intentions","10"
16,"8",7,"the predictive sentencing algorithm","trust","12"
16,"8",7,"the predictive sentencing algorithm","reliable","13"
16,"8",1,"the predictive sentencing algorithm","good-intentions","9"
16,"8",7,"the factory robot","trust","17"
16,"8",7,"the factory robot","reliable","6"
16,"8",1,"the factory robot","good-intentions","16"
16,"8",7,"the autonomous killer drone","trust","15"
16,"8",7,"the autonomous killer drone","reliable","2"
16,"8",7,"the autonomous killer drone","good-intentions","1"
17,"8",7,"the audio transcription AI","trust","16"
17,"8",7,"the audio transcription AI","reliable","2"
17,"8",1,"the audio transcription AI","good-intentions","5"
17,"8",7,"the robot vacuum","trust","4"
17,"8",7,"the robot vacuum","reliable","3"
17,"8",1,"the robot vacuum","good-intentions","18"
17,"8",7,"the predictive sentencing algorithm","trust","11"
17,"8",7,"the predictive sentencing algorithm","reliable","8"
17,"8",7,"the predictive sentencing algorithm","good-intentions","14"
17,"8",7,"the Instagram filter","trust","7"
17,"8",7,"the Instagram filter","reliable","6"
17,"8",1,"the Instagram filter","good-intentions","15"
17,"8",7,"the AI therapist","trust","1"
17,"8",7,"the AI therapist","reliable","13"
17,"8",7,"the AI therapist","good-intentions","9"
17,"8",7,"Google's AI Overviews","trust","12"
17,"8",7,"Google's AI Overviews","reliable","17"
17,"8",2,"Google's AI Overviews","good-intentions","10"
18,"8",5,"the autonomous killer drone","trust","12"
18,"8",6,"the autonomous killer drone","reliable","2"
18,"8",2,"the autonomous killer drone","good-intentions","17"
18,"8",7,"the factory robot","trust","18"
18,"8",5,"the factory robot","reliable","10"
18,"8",1,"the factory robot","good-intentions","11"
18,"8",6,"the Instagram filter","trust","15"
18,"8",3,"the Instagram filter","reliable","7"
18,"8",2,"the Instagram filter","good-intentions","4"
18,"8",7,"Amazon Alexa","trust","13"
18,"8",5,"Amazon Alexa","reliable","6"
18,"8",1,"Amazon Alexa","good-intentions","16"
18,"8",6,"the robot vacuum","trust","1"
18,"8",6,"the robot vacuum","reliable","14"
18,"8",1,"the robot vacuum","good-intentions","5"
18,"8",6,"Microsoft Copilot","trust","9"
18,"8",5,"Microsoft Copilot","reliable","3"
18,"8",2,"Microsoft Copilot","good-intentions","8"
19,"8",4,"the Instagram filter","trust","10"
19,"8",4,"the Instagram filter","reliable","3"
19,"8",5,"the Instagram filter","good-intentions","14"
19,"8",4,"the predictive sentencing algorithm","trust","18"
19,"8",5,"the predictive sentencing algorithm","reliable","8"
19,"8",6,"the predictive sentencing algorithm","good-intentions","15"
19,"8",5,"the smart watch","trust","17"
19,"8",7,"the smart watch","reliable","1"
19,"8",5,"the smart watch","good-intentions","13"
19,"8",5,"DALL-E","trust","9"
19,"8",5,"DALL-E","reliable","16"
19,"8",5,"DALL-E","good-intentions","7"
19,"8",5,"the AI photo editing tool","trust","5"
19,"8",5,"the AI photo editing tool","reliable","6"
19,"8",4,"the AI photo editing tool","good-intentions","11"
19,"8",5,"the self-driving car","trust","2"
19,"8",5,"the self-driving car","reliable","4"
19,"8",5,"the self-driving car","good-intentions","12"
20,"8",7,"Microsoft Copilot","trust","9"
20,"8",7,"Microsoft Copilot","reliable","10"
20,"8",6,"Microsoft Copilot","good-intentions","4"
20,"8",7,"the autonomous killer drone","trust","8"
20,"8",7,"the autonomous killer drone","reliable","5"
20,"8",4,"the autonomous killer drone","good-intentions","2"
20,"8",3,"the robot vacuum","trust","14"
20,"8",7,"the robot vacuum","reliable","7"
20,"8",5,"the robot vacuum","good-intentions","1"
20,"8",1,"the AI photo editing tool","trust","13"
20,"8",7,"the AI photo editing tool","reliable","16"
20,"8",1,"the AI photo editing tool","good-intentions","12"
20,"8",7,"the AI therapist","trust","6"
20,"8",7,"the AI therapist","reliable","3"
20,"8",5,"the AI therapist","good-intentions","11"
20,"8",7,"Amazon Alexa","trust","17"
20,"8",7,"Amazon Alexa","reliable","15"
20,"8",3,"Amazon Alexa","good-intentions","18"
21,"8",7,"Google's AI Overviews","trust","8"
21,"8",7,"Google's AI Overviews","reliable","14"
21,"8",1,"Google's AI Overviews","good-intentions","16"
21,"8",7,"the Artificial Moral Advisor","trust","4"
21,"8",7,"the Artificial Moral Advisor","reliable","17"
21,"8",1,"the Artificial Moral Advisor","good-intentions","9"
21,"8",7,"the audio transcription AI","trust","10"
21,"8",7,"the audio transcription AI","reliable","1"
21,"8",1,"the audio transcription AI","good-intentions","5"
21,"8",7,"the spam filter","trust","2"
21,"8",7,"the spam filter","reliable","6"
21,"8",1,"the spam filter","good-intentions","15"
21,"8",7,"the robot vacuum","trust","11"
21,"8",7,"the robot vacuum","reliable","7"
21,"8",1,"the robot vacuum","good-intentions","12"
21,"8",7,"the predictive sentencing algorithm","trust","18"
21,"8",7,"the predictive sentencing algorithm","reliable","13"
21,"8",2,"the predictive sentencing algorithm","good-intentions","3"
22,"8",7,"Amazon Alexa","trust","5"
22,"8",7,"Amazon Alexa","reliable","10"
22,"8",4,"Amazon Alexa","good-intentions","9"
22,"8",7,"the self-driving car","trust","11"
22,"8",7,"the self-driving car","reliable","14"
22,"8",3,"the self-driving car","good-intentions","8"
22,"8",6,"the robot vacuum","trust","6"
22,"8",7,"the robot vacuum","reliable","7"
22,"8",1,"the robot vacuum","good-intentions","16"
22,"8",7,"Microsoft Copilot","trust","3"
22,"8",7,"Microsoft Copilot","reliable","4"
22,"8",2,"Microsoft Copilot","good-intentions","17"
22,"8",7,"DALL-E","trust","12"
22,"8",7,"DALL-E","reliable","18"
22,"8",2,"DALL-E","good-intentions","13"
22,"8",7,"Apple’s Siri","trust","15"
22,"8",7,"Apple’s Siri","reliable","2"
22,"8",7,"Apple’s Siri","good-intentions","1"
23,"8",7,"Microsoft Copilot","trust","12"
23,"8",7,"Microsoft Copilot","reliable","5"
23,"8",7,"Microsoft Copilot","good-intentions","7"
23,"8",7,"the factory robot","trust","3"
23,"8",7,"the factory robot","reliable","1"
23,"8",1,"the factory robot","good-intentions","18"
23,"8",1,"the spam filter","trust","17"
23,"8",7,"the spam filter","reliable","16"
23,"8",1,"the spam filter","good-intentions","6"
23,"8",7,"Amazon Alexa","trust","15"
23,"8",7,"Amazon Alexa","reliable","4"
23,"8",1,"Amazon Alexa","good-intentions","14"
23,"8",1,"the Instagram filter","trust","8"
23,"8",1,"the Instagram filter","reliable","11"
23,"8",1,"the Instagram filter","good-intentions","2"
23,"8",1,"the predictive policing algorithm","trust","10"
23,"8",7,"the predictive policing algorithm","reliable","13"
23,"8",1,"the predictive policing algorithm","good-intentions","9"
24,"8",5,"the self-driving car","trust","17"
24,"8",7,"the self-driving car","reliable","2"
24,"8",1,"the self-driving car","good-intentions","15"
24,"8",4,"the AI therapist","trust","18"
24,"8",7,"the AI therapist","reliable","5"
24,"8",1,"the AI therapist","good-intentions","16"
24,"8",7,"the autonomous killer drone","trust","3"
24,"8",5,"the autonomous killer drone","reliable","12"
24,"8",2,"the autonomous killer drone","good-intentions","9"
24,"8",6,"DALL-E","trust","11"
24,"8",6,"DALL-E","reliable","8"
24,"8",1,"DALL-E","good-intentions","14"
24,"8",1,"the Instagram filter","trust","13"
24,"8",7,"the Instagram filter","reliable","7"
24,"8",1,"the Instagram filter","good-intentions","6"
24,"8",7,"the robot vacuum","trust","4"
24,"8",7,"the robot vacuum","reliable","1"
24,"8",1,"the robot vacuum","good-intentions","10"
25,"8",5,"DALL-E","trust","8"
25,"8",5,"DALL-E","reliable","4"
25,"8",5,"DALL-E","good-intentions","2"
25,"8",6,"ChatGPT","trust","12"
25,"8",6,"ChatGPT","reliable","15"
25,"8",4,"ChatGPT","good-intentions","5"
25,"8",5,"the smart watch","trust","16"
25,"8",5,"the smart watch","reliable","18"
25,"8",5,"the smart watch","good-intentions","11"
25,"8",6,"Amazon Alexa","trust","13"
25,"8",4,"Amazon Alexa","reliable","7"
25,"8",5,"Amazon Alexa","good-intentions","14"
25,"8",7,"the predictive policing algorithm","trust","6"
25,"8",7,"the predictive policing algorithm","reliable","9"
25,"8",7,"the predictive policing algorithm","good-intentions","1"
25,"8",6,"the self-driving car","trust","10"
25,"8",6,"the self-driving car","reliable","3"
25,"8",3,"the self-driving car","good-intentions","17"
26,"8",7,"the predictive sentencing algorithm","trust","2"
26,"8",7,"the predictive sentencing algorithm","reliable","9"
26,"8",6,"the predictive sentencing algorithm","good-intentions","18"
26,"8",5,"the smart watch","trust","5"
26,"8",7,"the smart watch","reliable","8"
26,"8",1,"the smart watch","good-intentions","16"
26,"8",3,"Google's AI Overviews","trust","12"
26,"8",3,"Google's AI Overviews","reliable","3"
26,"8",3,"Google's AI Overviews","good-intentions","4"
26,"8",7,"the robot vacuum","trust","17"
26,"8",7,"the robot vacuum","reliable","10"
26,"8",1,"the robot vacuum","good-intentions","15"
26,"8",7,"the spam filter","trust","6"
26,"8",7,"the spam filter","reliable","14"
26,"8",6,"the spam filter","good-intentions","11"
26,"8",7,"the audio transcription AI","trust","13"
26,"8",7,"the audio transcription AI","reliable","7"
26,"8",7,"the audio transcription AI","good-intentions","1"
27,"8",7,"ChatGPT","trust","8"
27,"8",6,"ChatGPT","reliable","18"
27,"8",6,"ChatGPT","good-intentions","6"
27,"8",6,"Google's AI Overviews","trust","3"
27,"8",4,"Google's AI Overviews","reliable","11"
27,"8",4,"Google's AI Overviews","good-intentions","12"
27,"8",7,"Microsoft Copilot","trust","7"
27,"8",7,"Microsoft Copilot","reliable","16"
27,"8",6,"Microsoft Copilot","good-intentions","5"
27,"8",5,"the audio transcription AI","trust","15"
27,"8",3,"the audio transcription AI","reliable","4"
27,"8",3,"the audio transcription AI","good-intentions","1"
27,"8",5,"the self-driving car","trust","9"
27,"8",6,"the self-driving car","reliable","14"
27,"8",1,"the self-driving car","good-intentions","17"
27,"8",6,"the spam filter","trust","13"
27,"8",6,"the spam filter","reliable","2"
27,"8",3,"the spam filter","good-intentions","10"
28,"8",7,"the predictive sentencing algorithm","trust","18"
28,"8",7,"the predictive sentencing algorithm","reliable","1"
28,"8",3,"the predictive sentencing algorithm","good-intentions","12"
28,"8",7,"Google's AI Overviews","trust","10"
28,"8",7,"Google's AI Overviews","reliable","3"
28,"8",3,"Google's AI Overviews","good-intentions","15"
28,"8",7,"the audio transcription AI","trust","2"
28,"8",7,"the audio transcription AI","reliable","9"
28,"8",3,"the audio transcription AI","good-intentions","5"
28,"8",7,"the AI therapist","trust","6"
28,"8",7,"the AI therapist","reliable","17"
28,"8",3,"the AI therapist","good-intentions","4"
28,"8",7,"Apple’s Siri","trust","7"
28,"8",7,"Apple’s Siri","reliable","13"
28,"8",3,"Apple’s Siri","good-intentions","14"
28,"8",7,"DALL-E","trust","8"
28,"8",7,"DALL-E","reliable","16"
28,"8",3,"DALL-E","good-intentions","11"
29,"8",7,"the Artificial Moral Advisor","trust","13"
29,"8",5,"the Artificial Moral Advisor","reliable","11"
29,"8",5,"the Artificial Moral Advisor","good-intentions","7"
29,"8",7,"the self-driving car","trust","12"
29,"8",7,"the self-driving car","reliable","9"
29,"8",5,"the self-driving car","good-intentions","2"
29,"8",4,"the spam filter","trust","16"
29,"8",6,"the spam filter","reliable","8"
29,"8",2,"the spam filter","good-intentions","6"
29,"8",6,"the AI therapist","trust","1"
29,"8",7,"the AI therapist","reliable","10"
29,"8",5,"the AI therapist","good-intentions","15"
29,"8",6,"Microsoft Copilot","trust","5"
29,"8",7,"Microsoft Copilot","reliable","14"
29,"8",5,"Microsoft Copilot","good-intentions","4"
29,"8",7,"the robot vacuum","trust","18"
29,"8",7,"the robot vacuum","reliable","3"
29,"8",6,"the robot vacuum","good-intentions","17"
30,"8",7,"the robot vacuum","trust","4"
30,"8",7,"the robot vacuum","reliable","5"
30,"8",1,"the robot vacuum","good-intentions","17"
30,"8",7,"DALL-E","trust","18"
30,"8",7,"DALL-E","reliable","13"
30,"8",1,"DALL-E","good-intentions","14"
30,"8",7,"the autonomous killer drone","trust","16"
30,"8",7,"the autonomous killer drone","reliable","2"
30,"8",1,"the autonomous killer drone","good-intentions","12"
30,"8",7,"the self-driving car","trust","1"
30,"8",7,"the self-driving car","reliable","11"
30,"8",1,"the self-driving car","good-intentions","10"
30,"8",7,"Google's AI Overviews","trust","15"
30,"8",6,"Google's AI Overviews","reliable","8"
30,"8",2,"Google's AI Overviews","good-intentions","6"
30,"8",3,"the predictive policing algorithm","trust","7"
30,"8",4,"the predictive policing algorithm","reliable","9"
30,"8",1,"the predictive policing algorithm","good-intentions","3"
31,"8",7,"the factory robot","trust","12"
31,"8",7,"the factory robot","reliable","14"
31,"8",1,"the factory robot","good-intentions","4"
31,"8",7,"Apple’s Siri","trust","2"
31,"8",7,"Apple’s Siri","reliable","6"
31,"8",1,"Apple’s Siri","good-intentions","13"
31,"8",7,"Amazon Alexa","trust","17"
31,"8",7,"Amazon Alexa","reliable","3"
31,"8",6,"Amazon Alexa","good-intentions","1"
31,"8",7,"the AI therapist","trust","10"
31,"8",7,"the AI therapist","reliable","7"
31,"8",1,"the AI therapist","good-intentions","9"
31,"8",7,"the audio transcription AI","trust","5"
31,"8",7,"the audio transcription AI","reliable","16"
31,"8",1,"the audio transcription AI","good-intentions","18"
31,"8",1,"the robot vacuum","trust","8"
31,"8",7,"the robot vacuum","reliable","15"
31,"8",1,"the robot vacuum","good-intentions","11"
32,"8",7,"the self-driving car","trust","4"
32,"8",7,"the self-driving car","reliable","10"
32,"8",4,"the self-driving car","good-intentions","13"
32,"8",7,"Google's AI Overviews","trust","15"
32,"8",5,"Google's AI Overviews","reliable","3"
32,"8",3,"Google's AI Overviews","good-intentions","11"
32,"8",6,"the Artificial Moral Advisor","trust","8"
32,"8",7,"the Artificial Moral Advisor","reliable","1"
32,"8",4,"the Artificial Moral Advisor","good-intentions","9"
32,"8",7,"the predictive policing algorithm","trust","17"
32,"8",7,"the predictive policing algorithm","reliable","16"
32,"8",4,"the predictive policing algorithm","good-intentions","7"
32,"8",7,"the robot vacuum","trust","14"
32,"8",7,"the robot vacuum","reliable","5"
32,"8",6,"the robot vacuum","good-intentions","12"
32,"8",7,"Microsoft Copilot","trust","2"
32,"8",7,"Microsoft Copilot","reliable","18"
32,"8",4,"Microsoft Copilot","good-intentions","6"
33,"8",4,"the factory robot","trust","8"
33,"8",6,"the factory robot","reliable","9"
33,"8",2,"the factory robot","good-intentions","7"
33,"8",4,"the spam filter","trust","15"
33,"8",7,"the spam filter","reliable","17"
33,"8",1,"the spam filter","good-intentions","16"
