PID,Measure,Item,Rating,Category
7,Felicity,Gorilla,5,Animals
7,Felicity,Microsoft,5,Group_Agents
7,Felicity,Government,7,Group_Agents
7,Felicity,Newspaper,7,Group_Agents
7,Felicity,My_Mother,7,Agents
7,Felicity,Doctor,7,Agents
7,Felicity,Cashier,7,Agents
8,Sense,ChatGPT,6,AI
8,Sense,LLM,4,AI
8,Sense,Self_Driving_Car,5,AI
8,Sense,AI,7,AI
8,Sense,Amazon_Alexa,7,AI
8,Sense,Robot,7,AI
8,Sense,Rectangle,1,Abstract
8,Sense,Number_5,1,Abstract
8,Sense,Color_Blue,1,Abstract
8,Sense,Tree,1,Inanimate_Nature
8,Sense,Moon,4,Inanimate_Nature
8,Sense,Stone,1,Inanimate_Nature
8,Sense,Pizza,1,Food
8,Sense,Cheese,1,Food
8,Sense,Sandwich,1,Food
8,Sense,Vending_Machine,2,Animate_Artifacts
8,Sense,Sewing_Machine,4,Animate_Artifacts
8,Sense,Photocopier,4,Animate_Artifacts
8,Sense,Dog,6,Animals
8,Sense,Lizard,3,Animals
8,Sense,Gorilla,5,Animals
8,Sense,Microsoft,7,Group_Agents
8,Sense,Government,7,Group_Agents
8,Sense,Newspaper,5,Group_Agents
8,Sense,My_Mother,7,Agents
8,Sense,Doctor,7,Agents
8,Sense,Cashier,7,Agents
9,Sense,ChatGPT,5,AI
9,Sense,LLM,4,AI
9,Sense,Self_Driving_Car,5,AI
9,Sense,AI,5,AI
9,Sense,Amazon_Alexa,5,AI
9,Sense,Robot,2,AI
9,Sense,Rectangle,1,Abstract
9,Sense,Number_5,1,Abstract
9,Sense,Color_Blue,1,Abstract
9,Sense,Tree,1,Inanimate_Nature
9,Sense,Moon,1,Inanimate_Nature
9,Sense,Stone,1,Inanimate_Nature
9,Sense,Pizza,1,Food
9,Sense,Cheese,1,Food
9,Sense,Sandwich,1,Food
9,Sense,Vending_Machine,5,Animate_Artifacts
9,Sense,Sewing_Machine,5,Animate_Artifacts
9,Sense,Photocopier,5,Animate_Artifacts
9,Sense,Dog,5,Animals
9,Sense,Lizard,5,Animals
9,Sense,Gorilla,5,Animals
9,Sense,Microsoft,5,Group_Agents
9,Sense,Government,7,Group_Agents
9,Sense,Newspaper,5,Group_Agents
9,Sense,My_Mother,5,Agents
9,Sense,Doctor,7,Agents
9,Sense,Cashier,5,Agents
10,Felicity,ChatGPT,5,AI
10,Felicity,LLM,1,AI
10,Felicity,Self_Driving_Car,3,AI
10,Felicity,AI,4,AI
10,Felicity,Amazon_Alexa,3,AI
10,Felicity,Robot,2,AI
10,Felicity,Rectangle,1,Abstract
10,Felicity,Number_5,2,Abstract
10,Felicity,Color_Blue,5,Abstract
10,Felicity,Tree,2,Inanimate_Nature
10,Felicity,Moon,1,Inanimate_Nature
10,Felicity,Stone,1,Inanimate_Nature
10,Felicity,Pizza,3,Food
10,Felicity,Cheese,2,Food
10,Felicity,Sandwich,2,Food
10,Felicity,Vending_Machine,3,Animate_Artifacts
10,Felicity,Sewing_Machine,5,Animate_Artifacts
10,Felicity,Photocopier,4,Animate_Artifacts
10,Felicity,Dog,5,Animals
10,Felicity,Lizard,2,Animals
10,Felicity,Gorilla,3,Animals
10,Felicity,Microsoft,5,Group_Agents
10,Felicity,Government,4,Group_Agents
10,Felicity,Newspaper,5,Group_Agents
10,Felicity,My_Mother,7,Agents
10,Felicity,Doctor,6,Agents
10,Felicity,Cashier,7,Agents
11,Felicity,ChatGPT,4,AI
11,Felicity,LLM,1,AI
11,Felicity,Self_Driving_Car,1,AI
11,Felicity,AI,1,AI
11,Felicity,Amazon_Alexa,4,AI
11,Felicity,Robot,4,AI
11,Felicity,Rectangle,1,Abstract
11,Felicity,Number_5,1,Abstract
11,Felicity,Color_Blue,5,Abstract
11,Felicity,Tree,1,Inanimate_Nature
11,Felicity,Moon,1,Inanimate_Nature
11,Felicity,Stone,1,Inanimate_Nature
11,Felicity,Pizza,1,Food
11,Felicity,Cheese,1,Food
11,Felicity,Sandwich,1,Food
11,Felicity,Vending_Machine,1,Animate_Artifacts
11,Felicity,Sewing_Machine,5,Animate_Artifacts
11,Felicity,Photocopier,1,Animate_Artifacts
11,Felicity,Dog,1,Animals
11,Felicity,Lizard,1,Animals
11,Felicity,Gorilla,1,Animals
11,Felicity,Microsoft,5,Group_Agents
11,Felicity,Government,1,Group_Agents
11,Felicity,Newspaper,4,Group_Agents
11,Felicity,My_Mother,7,Agents
11,Felicity,Doctor,4,Agents
11,Felicity,Cashier,4,Agents
12,Felicity,ChatGPT,5,AI
12,Felicity,LLM,1,AI
12,Felicity,Self_Driving_Car,3,AI
12,Felicity,AI,5,AI
12,Felicity,Amazon_Alexa,4,AI
12,Felicity,Robot,4,AI
12,Felicity,Rectangle,1,Abstract
12,Felicity,Number_5,1,Abstract
12,Felicity,Color_Blue,1,Abstract
12,Felicity,Tree,1,Inanimate_Nature
12,Felicity,Moon,1,Inanimate_Nature
12,Felicity,Stone,1,Inanimate_Nature
12,Felicity,Pizza,1,Food
12,Felicity,Cheese,2,Food
12,Felicity,Sandwich,2,Food
12,Felicity,Vending_Machine,3,Animate_Artifacts
12,Felicity,Sewing_Machine,3,Animate_Artifacts
12,Felicity,Photocopier,1,Animate_Artifacts
12,Felicity,Dog,5,Animals
12,Felicity,Lizard,3,Animals
12,Felicity,Gorilla,1,Animals
12,Felicity,Microsoft,2,Group_Agents
12,Felicity,Government,2,Group_Agents
12,Felicity,Newspaper,1,Group_Agents
12,Felicity,My_Mother,6,Agents
12,Felicity,Doctor,5,Agents
12,Felicity,Cashier,3,Agents
13,Sense,ChatGPT,7,AI
13,Sense,LLM,3,AI
13,Sense,Self_Driving_Car,7,AI
13,Sense,AI,7,AI
13,Sense,Amazon_Alexa,7,AI
13,Sense,Robot,7,AI
13,Sense,Rectangle,1,Abstract
13,Sense,Number_5,1,Abstract
13,Sense,Color_Blue,1,Abstract
13,Sense,Tree,1,Inanimate_Nature
13,Sense,Moon,1,Inanimate_Nature
13,Sense,Stone,1,Inanimate_Nature
13,Sense,Pizza,1,Food
13,Sense,Cheese,1,Food
13,Sense,Sandwich,1,Food
13,Sense,Vending_Machine,1,Animate_Artifacts
13,Sense,Sewing_Machine,1,Animate_Artifacts
13,Sense,Photocopier,1,Animate_Artifacts
13,Sense,Dog,7,Animals
13,Sense,Lizard,7,Animals
13,Sense,Gorilla,7,Animals
13,Sense,Microsoft,6,Group_Agents
13,Sense,Government,7,Group_Agents
13,Sense,Newspaper,6,Group_Agents
13,Sense,My_Mother,7,Agents
13,Sense,Doctor,7,Agents
13,Sense,Cashier,7,Agents
14,Sense,ChatGPT,7,AI
14,Sense,LLM,7,AI
14,Sense,Self_Driving_Car,7,AI
14,Sense,AI,7,AI
14,Sense,Amazon_Alexa,7,AI
14,Sense,Robot,7,AI
14,Sense,Rectangle,1,Abstract
14,Sense,Number_5,2,Abstract
14,Sense,Color_Blue,1,Abstract
14,Sense,Tree,4,Inanimate_Nature
14,Sense,Moon,1,Inanimate_Nature
14,Sense,Stone,2,Inanimate_Nature
14,Sense,Pizza,3,Food
14,Sense,Cheese,4,Food
14,Sense,Sandwich,3,Food
14,Sense,Vending_Machine,3,Animate_Artifacts
14,Sense,Sewing_Machine,3,Animate_Artifacts
14,Sense,Photocopier,4,Animate_Artifacts
14,Sense,Dog,6,Animals
14,Sense,Lizard,3,Animals
14,Sense,Gorilla,4,Animals
14,Sense,Microsoft,7,Group_Agents
14,Sense,Government,7,Group_Agents
14,Sense,Newspaper,7,Group_Agents
14,Sense,My_Mother,7,Agents
14,Sense,Doctor,7,Agents
14,Sense,Cashier,7,Agents
15,Felicity,ChatGPT,1,AI
15,Felicity,LLM,2,AI
15,Felicity,Self_Driving_Car,3,AI
15,Felicity,AI,1,AI
15,Felicity,Amazon_Alexa,1,AI
15,Felicity,Robot,2,AI
15,Felicity,Rectangle,1,Abstract
15,Felicity,Number_5,1,Abstract
15,Felicity,Color_Blue,1,Abstract
15,Felicity,Tree,1,Inanimate_Nature
15,Felicity,Moon,1,Inanimate_Nature
15,Felicity,Stone,1,Inanimate_Nature
15,Felicity,Pizza,2,Food
15,Felicity,Cheese,1,Food
15,Felicity,Sandwich,1,Food
15,Felicity,Vending_Machine,1,Animate_Artifacts
15,Felicity,Sewing_Machine,1,Animate_Artifacts
15,Felicity,Photocopier,1,Animate_Artifacts
15,Felicity,Dog,7,Animals
15,Felicity,Lizard,1,Animals
15,Felicity,Gorilla,1,Animals
15,Felicity,Microsoft,3,Group_Agents
15,Felicity,Government,6,Group_Agents
15,Felicity,Newspaper,5,Group_Agents
15,Felicity,My_Mother,7,Agents
15,Felicity,Doctor,7,Agents
15,Felicity,Cashier,6,Agents
16,Felicity,ChatGPT,6,AI
16,Felicity,LLM,5,AI
16,Felicity,Self_Driving_Car,6,AI
16,Felicity,AI,6,AI
16,Felicity,Amazon_Alexa,6,AI
16,Felicity,Robot,5,AI
16,Felicity,Rectangle,1,Abstract
16,Felicity,Number_5,2,Abstract
16,Felicity,Color_Blue,1,Abstract
16,Felicity,Tree,1,Inanimate_Nature
16,Felicity,Moon,6,Inanimate_Nature
16,Felicity,Stone,1,Inanimate_Nature
16,Felicity,Pizza,1,Food
16,Felicity,Cheese,2,Food
16,Felicity,Sandwich,1,Food
16,Felicity,Vending_Machine,6,Animate_Artifacts
16,Felicity,Sewing_Machine,6,Animate_Artifacts
16,Felicity,Photocopier,6,Animate_Artifacts
16,Felicity,Dog,5,Animals
16,Felicity,Lizard,5,Animals
16,Felicity,Gorilla,5,Animals
16,Felicity,Microsoft,7,Group_Agents
16,Felicity,Government,7,Group_Agents
16,Felicity,Newspaper,7,Group_Agents
16,Felicity,My_Mother,7,Agents
16,Felicity,Doctor,7,Agents
16,Felicity,Cashier,7,Agents
17,Sense,ChatGPT,7,AI
17,Sense,LLM,6,AI
17,Sense,Self_Driving_Car,6,AI
17,Sense,AI,3,AI
17,Sense,Amazon_Alexa,6,AI
17,Sense,Robot,7,AI
17,Sense,Rectangle,6,Abstract
17,Sense,Number_5,6,Abstract
17,Sense,Color_Blue,7,Abstract
17,Sense,Tree,6,Inanimate_Nature
17,Sense,Moon,6,Inanimate_Nature
17,Sense,Stone,7,Inanimate_Nature
17,Sense,Pizza,7,Food
17,Sense,Cheese,5,Food
17,Sense,Sandwich,6,Food
17,Sense,Vending_Machine,7,Animate_Artifacts
17,Sense,Sewing_Machine,7,Animate_Artifacts
17,Sense,Photocopier,6,Animate_Artifacts
17,Sense,Dog,7,Animals
17,Sense,Lizard,6,Animals
17,Sense,Gorilla,6,Animals
17,Sense,Microsoft,7,Group_Agents
17,Sense,Government,7,Group_Agents
17,Sense,Newspaper,7,Group_Agents
17,Sense,My_Mother,7,Agents
17,Sense,Doctor,7,Agents
17,Sense,Cashier,7,Agents
18,Sense,ChatGPT,2,AI
18,Sense,LLM,1,AI
18,Sense,Self_Driving_Car,5,AI
18,Sense,AI,2,AI
18,Sense,Amazon_Alexa,2,AI
18,Sense,Robot,3,AI
18,Sense,Rectangle,1,Abstract
18,Sense,Number_5,1,Abstract
18,Sense,Color_Blue,1,Abstract
18,Sense,Tree,1,Inanimate_Nature
18,Sense,Moon,1,Inanimate_Nature
18,Sense,Stone,1,Inanimate_Nature
18,Sense,Pizza,1,Food
18,Sense,Cheese,1,Food
18,Sense,Sandwich,1,Food
18,Sense,Vending_Machine,2,Animate_Artifacts
18,Sense,Sewing_Machine,2,Animate_Artifacts
18,Sense,Photocopier,1,Animate_Artifacts
18,Sense,Dog,6,Animals
18,Sense,Lizard,1,Animals
18,Sense,Gorilla,5,Animals
18,Sense,Microsoft,5,Group_Agents
18,Sense,Government,7,Group_Agents
18,Sense,Newspaper,6,Group_Agents
18,Sense,My_Mother,7,Agents
18,Sense,Doctor,7,Agents
18,Sense,Cashier,7,Agents
19,Sense,ChatGPT,7,AI
19,Sense,LLM,1,AI
19,Sense,Self_Driving_Car,7,AI
19,Sense,AI,7,AI
19,Sense,Amazon_Alexa,7,AI
19,Sense,Robot,7,AI
19,Sense,Rectangle,1,Abstract
19,Sense,Number_5,7,Abstract
19,Sense,Color_Blue,1,Abstract
19,Sense,Tree,1,Inanimate_Nature
19,Sense,Moon,1,Inanimate_Nature
19,Sense,Stone,1,Inanimate_Nature
19,Sense,Pizza,1,Food
19,Sense,Cheese,1,Food
19,Sense,Sandwich,1,Food
19,Sense,Vending_Machine,1,Animate_Artifacts
19,Sense,Sewing_Machine,1,Animate_Artifacts
19,Sense,Photocopier,6,Animate_Artifacts
19,Sense,Dog,6,Animals
19,Sense,Lizard,1,Animals
19,Sense,Gorilla,1,Animals
19,Sense,Microsoft,7,Group_Agents
19,Sense,Government,7,Group_Agents
19,Sense,Newspaper,7,Group_Agents
19,Sense,My_Mother,7,Agents
19,Sense,Doctor,7,Agents
19,Sense,Cashier,7,Agents
20,Felicity,ChatGPT,4,AI
20,Felicity,LLM,4,AI
20,Felicity,Self_Driving_Car,4,AI
20,Felicity,AI,4,AI
20,Felicity,Amazon_Alexa,3,AI
20,Felicity,Robot,3,AI
20,Felicity,Rectangle,2,Abstract
20,Felicity,Number_5,1,Abstract
20,Felicity,Color_Blue,3,Abstract
20,Felicity,Tree,2,Inanimate_Nature
20,Felicity,Moon,2,Inanimate_Nature
20,Felicity,Stone,3,Inanimate_Nature
20,Felicity,Pizza,2,Food
20,Felicity,Cheese,2,Food
20,Felicity,Sandwich,2,Food
20,Felicity,Vending_Machine,3,Animate_Artifacts
20,Felicity,Sewing_Machine,3,Animate_Artifacts
20,Felicity,Photocopier,3,Animate_Artifacts
20,Felicity,Dog,4,Animals
20,Felicity,Lizard,2,Animals
20,Felicity,Gorilla,3,Animals
20,Felicity,Microsoft,3,Group_Agents
20,Felicity,Government,4,Group_Agents
20,Felicity,Newspaper,4,Group_Agents
20,Felicity,My_Mother,7,Agents
20,Felicity,Doctor,5,Agents
20,Felicity,Cashier,5,Agents
21,Felicity,ChatGPT,6,AI
21,Felicity,LLM,1,AI
21,Felicity,Self_Driving_Car,7,AI
21,Felicity,AI,7,AI
21,Felicity,Amazon_Alexa,4,AI
21,Felicity,Robot,6,AI
21,Felicity,Rectangle,1,Abstract
21,Felicity,Number_5,5,Abstract
21,Felicity,Color_Blue,1,Abstract
21,Felicity,Tree,5,Inanimate_Nature
21,Felicity,Moon,3,Inanimate_Nature
21,Felicity,Stone,1,Inanimate_Nature
21,Felicity,Pizza,1,Food
21,Felicity,Cheese,3,Food
21,Felicity,Sandwich,1,Food
21,Felicity,Vending_Machine,1,Animate_Artifacts
21,Felicity,Sewing_Machine,1,Animate_Artifacts
21,Felicity,Photocopier,1,Animate_Artifacts
21,Felicity,Dog,6,Animals
21,Felicity,Lizard,1,Animals
21,Felicity,Gorilla,2,Animals
21,Felicity,Microsoft,3,Group_Agents
21,Felicity,Government,7,Group_Agents
21,Felicity,Newspaper,4,Group_Agents
21,Felicity,My_Mother,7,Agents
21,Felicity,Doctor,7,Agents
21,Felicity,Cashier,7,Agents
22,Sense,ChatGPT,6,AI
22,Sense,LLM,1,AI
22,Sense,Self_Driving_Car,7,AI
22,Sense,AI,6,AI
22,Sense,Amazon_Alexa,6,AI
22,Sense,Robot,7,AI
22,Sense,Rectangle,1,Abstract
22,Sense,Number_5,1,Abstract
22,Sense,Color_Blue,1,Abstract
22,Sense,Tree,1,Inanimate_Nature
22,Sense,Moon,4,Inanimate_Nature
22,Sense,Stone,1,Inanimate_Nature
22,Sense,Pizza,1,Food
22,Sense,Cheese,1,Food
22,Sense,Sandwich,1,Food
22,Sense,Vending_Machine,2,Animate_Artifacts
22,Sense,Sewing_Machine,6,Animate_Artifacts
22,Sense,Photocopier,5,Animate_Artifacts
22,Sense,Dog,6,Animals
22,Sense,Lizard,6,Animals
22,Sense,Gorilla,7,Animals
22,Sense,Microsoft,7,Group_Agents
22,Sense,Government,7,Group_Agents
22,Sense,Newspaper,7,Group_Agents
22,Sense,My_Mother,7,Agents
22,Sense,Doctor,7,Agents
22,Sense,Cashier,7,Agents
23,Felicity,ChatGPT,3,AI
23,Felicity,LLM,5,AI
23,Felicity,Self_Driving_Car,5,AI
23,Felicity,AI,5,AI
23,Felicity,Amazon_Alexa,4,AI
23,Felicity,Robot,4,AI
23,Felicity,Rectangle,1,Abstract
23,Felicity,Number_5,1,Abstract
23,Felicity,Color_Blue,2,Abstract
23,Felicity,Tree,4,Inanimate_Nature
23,Felicity,Moon,1,Inanimate_Nature
23,Felicity,Stone,1,Inanimate_Nature
23,Felicity,Pizza,1,Food
23,Felicity,Cheese,1,Food
23,Felicity,Sandwich,2,Food
23,Felicity,Vending_Machine,3,Animate_Artifacts
23,Felicity,Sewing_Machine,6,Animate_Artifacts
23,Felicity,Photocopier,3,Animate_Artifacts
23,Felicity,Dog,6,Animals
23,Felicity,Lizard,5,Animals
23,Felicity,Gorilla,4,Animals
23,Felicity,Microsoft,6,Group_Agents
23,Felicity,Government,5,Group_Agents
23,Felicity,Newspaper,5,Group_Agents
23,Felicity,My_Mother,7,Agents
23,Felicity,Doctor,6,Agents
23,Felicity,Cashier,6,Agents
24,Felicity,ChatGPT,3,AI
24,Felicity,LLM,4,AI
24,Felicity,Self_Driving_Car,3,AI
24,Felicity,AI,4,AI
24,Felicity,Amazon_Alexa,3,AI
24,Felicity,Robot,1,AI
24,Felicity,Rectangle,3,Abstract
24,Felicity,Number_5,5,Abstract
24,Felicity,Color_Blue,3,Abstract
24,Felicity,Tree,5,Inanimate_Nature
24,Felicity,Moon,3,Inanimate_Nature
24,Felicity,Stone,2,Inanimate_Nature
24,Felicity,Pizza,1,Food
24,Felicity,Cheese,1,Food
24,Felicity,Sandwich,3,Food
24,Felicity,Vending_Machine,4,Animate_Artifacts
24,Felicity,Sewing_Machine,5,Animate_Artifacts
24,Felicity,Photocopier,5,Animate_Artifacts
24,Felicity,Dog,7,Animals
24,Felicity,Lizard,3,Animals
24,Felicity,Gorilla,3,Animals
24,Felicity,Microsoft,5,Group_Agents
24,Felicity,Government,5,Group_Agents
24,Felicity,Newspaper,3,Group_Agents
24,Felicity,My_Mother,7,Agents
24,Felicity,Doctor,7,Agents
24,Felicity,Cashier,7,Agents
25,Felicity,ChatGPT,7,AI
25,Felicity,LLM,6,AI
25,Felicity,Self_Driving_Car,7,AI
25,Felicity,AI,7,AI
25,Felicity,Amazon_Alexa,7,AI
25,Felicity,Robot,7,AI
25,Felicity,Rectangle,2,Abstract
25,Felicity,Number_5,3,Abstract
25,Felicity,Color_Blue,3,Abstract
25,Felicity,Tree,5,Inanimate_Nature
25,Felicity,Moon,3,Inanimate_Nature
25,Felicity,Stone,4,Inanimate_Nature
25,Felicity,Pizza,4,Food
25,Felicity,Cheese,6,Food
25,Felicity,Sandwich,5,Food
25,Felicity,Vending_Machine,5,Animate_Artifacts
25,Felicity,Sewing_Machine,4,Animate_Artifacts
25,Felicity,Photocopier,5,Animate_Artifacts
25,Felicity,Dog,7,Animals
25,Felicity,Lizard,4,Animals
25,Felicity,Gorilla,7,Animals
25,Felicity,Microsoft,7,Group_Agents
25,Felicity,Government,7,Group_Agents
25,Felicity,Newspaper,7,Group_Agents
25,Felicity,My_Mother,7,Agents
25,Felicity,Doctor,7,Agents
25,Felicity,Cashier,7,Agents
26,Felicity,ChatGPT,5,AI
26,Felicity,LLM,1,AI
26,Felicity,Self_Driving_Car,4,AI
26,Felicity,AI,3,AI
26,Felicity,Amazon_Alexa,5,AI
26,Felicity,Robot,2,AI
26,Felicity,Rectangle,2,Abstract
26,Felicity,Number_5,5,Abstract
26,Felicity,Color_Blue,3,Abstract
26,Felicity,Tree,6,Inanimate_Nature
26,Felicity,Moon,3,Inanimate_Nature
26,Felicity,Stone,1,Inanimate_Nature
26,Felicity,Pizza,2,Food
26,Felicity,Cheese,1,Food
26,Felicity,Sandwich,4,Food
26,Felicity,Vending_Machine,3,Animate_Artifacts
26,Felicity,Sewing_Machine,6,Animate_Artifacts
26,Felicity,Photocopier,5,Animate_Artifacts
26,Felicity,Dog,7,Animals
26,Felicity,Lizard,2,Animals
26,Felicity,Gorilla,3,Animals
26,Felicity,Microsoft,5,Group_Agents
26,Felicity,Government,5,Group_Agents
26,Felicity,Newspaper,6,Group_Agents
26,Felicity,My_Mother,7,Agents
26,Felicity,Doctor,7,Agents
26,Felicity,Cashier,5,Agents
27,Felicity,ChatGPT,6,AI
27,Felicity,LLM,5,AI
27,Felicity,Self_Driving_Car,5,AI
27,Felicity,AI,6,AI
27,Felicity,Amazon_Alexa,6,AI
27,Felicity,Robot,5,AI
27,Felicity,Rectangle,1,Abstract
27,Felicity,Number_5,1,Abstract
27,Felicity,Color_Blue,1,Abstract
27,Felicity,Tree,3,Inanimate_Nature
27,Felicity,Moon,1,Inanimate_Nature
27,Felicity,Stone,2,Inanimate_Nature
27,Felicity,Pizza,3,Food
27,Felicity,Cheese,3,Food
27,Felicity,Sandwich,2,Food
27,Felicity,Vending_Machine,3,Animate_Artifacts
27,Felicity,Sewing_Machine,3,Animate_Artifacts
27,Felicity,Photocopier,4,Animate_Artifacts
27,Felicity,Dog,5,Animals
27,Felicity,Lizard,3,Animals
27,Felicity,Gorilla,4,Animals
27,Felicity,Microsoft,6,Group_Agents
27,Felicity,Government,6,Group_Agents
27,Felicity,Newspaper,6,Group_Agents
27,Felicity,My_Mother,6,Agents
27,Felicity,Doctor,6,Agents
27,Felicity,Cashier,6,Agents
28,Felicity,ChatGPT,4,AI
28,Felicity,LLM,3,AI
28,Felicity,Self_Driving_Car,4,AI
28,Felicity,AI,4,AI
28,Felicity,Amazon_Alexa,5,AI
28,Felicity,Robot,4,AI
28,Felicity,Rectangle,2,Abstract
